pert_iname	pert_id	at how many doses the perturbagen has dose specific responses	"dose,pvalue"					
resveratrol	BRD-K80738081	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
isosilybin b	BRD-K35305708	6	"0.0411523um,0.0019"	"0.123457um,0.0013"	"0.37037um,0.0003"	"1.11111um,0.0003"	"3.33333um,0.0"	"10um,0.0"
prostratin	BRD-K91145395	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
BRD-K86574132	BRD-K86574132	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
brazilin	BRD-A83326220	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
narciclasine	BRD-K06792661	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
silybin b	BRD-K78572261	6	"0.0411523um,0.0004"	"0.123457um,0.0003"	"0.37037um,0.0009"	"1.11111um,0.0017"	"3.33333um,0.0001"	"10um,0.001"
isosilychristin	BRD-K80216442	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
silibinin	BRD-A08789708	6	"0.0411523um,0.0015"	"0.123457um,0.0"	"0.37037um,0.0005"	"1.11111um,0.0009"	"3.33333um,0.0015"	"10um,0.0009"
rottlerin	BRD-K39256324	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
isosilybin a	BRD-K29192871	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
silybin b-7-o-beta-d-glucuronide	BRD-K69179556	6	"0.0411523um,0.0017"	"0.123457um,0.0024"	"0.37037um,0.0016"	"1.11111um,0.0"	"3.33333um,0.0004"	"10um,0.0027"
NFKB-activation-inhibitor-II	BRD-K83354763	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
curcumin	BRD-K07572174	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
rotenone	BRD-K08316444	6	"0.045679um,0.0045"	"0.137037um,0.0002"	"0.411111um,0.0"	"1.23333um,0.0"	"3.7um,0.0"	"11.1um,0.0"
tyrphostin	BRD-K08132273	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
mitoxantrone	BRD-K21680192	6	"0.0411523um,0.0015"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0003"	"10um,0.0"
torin-1	BRD-K40175214	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
silybin a-7-o-beta-d-glucuronide	BRD-K24779182	6	"0.0411523um,0.0"	"0.123457um,0.0"	"0.37037um,0.0"	"1.11111um,0.0"	"3.33333um,0.0"	"10um,0.0"
silybin b-4''-o-beta-d-glucuronide	BRD-K93937110	5	"0.0411523um,0.0002"	"0.123457um,0.0045"	"0.37037um,0.003"	"1.11111um,0.019"	"3.33333um,0.0004"	"10um,0.0037"
